Class,Image_Count,Percentage
Tomato__Tomato_YellowLeaf__Curl_Virus,3208,15.544141874212617
Tomato_Bacterial_spot,2127,10.30623122395581
Tomato_Late_blight,1909,9.249927318538619
Tomato_Septoria_leaf_spot,1771,8.581257873824983
Tomato_Spider_mites_Two_spotted_spider_mite,1676,8.120941951739509
Tomato_healthy,1591,7.70908033724198
Pepper__bell___healthy,1478,7.161546661498207
Tomato__Target_Spot,1404,6.802984785347417
Potato___Early_blight,1000,4.845430758794457
Potato___Late_blight,1000,4.845430758794457
Tomato_Early_blight,1000,4.845430758794457
Pepper__bell___Bacterial_spot,997,4.830894466518074
Tomato_Leaf_Mold,952,4.612850082372323
Tomato__Tomato_mosaic_virus,373,1.8073456730303323
Potato___healthy,152,0.7365054753367575
