Duplicate_Group,SHA256,Duplicate_Type,Class_Count,Classes,Image_Count,Files,Paths
1,12852b3616bcf0ba39b03b5677e74f50f5f6abf4d38957fe17949e23e2a4b244,SAME_CLASS_DUPLICATE,1,Tomato_healthy,2,488feb1c-4b9f-44e7-8aa6-4103a9601f5f___GH_HL Leaf 434.JPG | a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\488feb1c-4b9f-44e7-8aa6-4103a9601f5f___GH_HL Leaf 434.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG
2,2a05a74db3a270ac0ec77c00ebe89a332eed589819435129cc3c29eb6e701eb2,SAME_CLASS_DUPLICATE,1,Tomato_healthy,2,068e324c-faf6-40d6-8f83-578907f1cac5___GH_HL Leaf 466.1.JPG | 34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\068e324c-faf6-40d6-8f83-578907f1cac5___GH_HL Leaf 466.1.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG
3,2aeb7479e975df37dfb54aa7b403f57f2ad90b018c37809e572a2a932f55d2a7,SAME_CLASS_DUPLICATE,1,Tomato_Late_blight,2,5f21282c-e2ef-4c4a-ace1-b5701fe7effc___GHLB2 Leaf 8999.JPG | e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\5f21282c-e2ef-4c4a-ace1-b5701fe7effc___GHLB2 Leaf 8999.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG
4,32e9ffabaa054c19ae8df95e94fbd7a25105defdea1214eb5f8bd804ea9a7428,SAME_CLASS_DUPLICATE,1,Tomato_healthy,2,9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG | d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG
5,375eee7b5da77c7afdd73d089574bee3148d04cbe266ee070ee4774d26aca750,SAME_CLASS_DUPLICATE,1,Tomato_Late_blight,2,48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg | bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg | ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg
6,3a60a7b6f3a287981d21dca37f27e5480cc46d1144688d435e53db7a47b7006f,SAME_CLASS_DUPLICATE,1,Tomato_Late_blight,2,861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg | d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg,ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg | ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg
7,4913a3835e692530e507d542caccacc0d0a7b2fd708782cdec6236a1a0dbbcd6,SAME_CLASS_DUPLICATE,1,Tomato_Late_blight,2,3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg | 5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg | ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg
8,61f6fa6195ef5c59c4918a292c641d4cd3d2d31ff051dcd0f36a625daf93f5ef,SAME_CLASS_DUPLICATE,1,Tomato_healthy,2,1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG | cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG
9,68cda8c3ceca7626cc6727e14186d356b10d1e345eb16e425ef82f21a30258ed,SAME_CLASS_DUPLICATE,1,Tomato_healthy,2,37aad83b-7ff8-4b35-b3ed-fb8e0f54910b___GH_HL Leaf 342.1.JPG | e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\37aad83b-7ff8-4b35-b3ed-fb8e0f54910b___GH_HL Leaf 342.1.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_healthy\e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG
10,6e1610d4e0f6f84108af112322d11779254b2b2d41958449c64b0bf938628444,SAME_CLASS_DUPLICATE,1,Tomato_Late_blight,2,5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG | e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG | ml\datasets\raw\plantvillage\PlantVillage\Tomato_Late_blight\e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG
