Class,train,val,test,Total
Pepper__bell___Bacterial_spot,697,149,151,997
Pepper__bell___healthy,1034,221,223,1478
Potato___Early_blight,700,150,150,1000
Potato___healthy,106,22,24,152
Potato___Late_blight,700,150,150,1000
Tomato_Bacterial_spot,1488,319,320,2127
Tomato_Early_blight,700,150,150,1000
Tomato_healthy,1109,237,239,1585
Tomato_Late_blight,1330,285,286,1901
Tomato_Leaf_Mold,666,142,144,952
Tomato_Septoria_leaf_spot,1239,265,267,1771
Tomato_Spider_mites_Two_spotted_spider_mite,1173,251,252,1676
Tomato__Target_Spot,982,210,212,1404
Tomato__Tomato_mosaic_virus,261,55,57,373
Tomato__Tomato_YellowLeaf__Curl_Virus,2245,481,482,3208
