Class,Total,Train,Validation,Test
Pepper__bell___Bacterial_spot,997,697,149,151
Pepper__bell___healthy,1478,1034,221,223
Potato___Early_blight,1000,700,150,150
Potato___Late_blight,1000,700,150,150
Potato___healthy,152,106,22,24
Tomato_Bacterial_spot,2127,1488,319,320
Tomato_Early_blight,1000,700,150,150
Tomato_Late_blight,1901,1330,285,286
Tomato_Leaf_Mold,952,666,142,144
Tomato_Septoria_leaf_spot,1771,1239,265,267
Tomato_Spider_mites_Two_spotted_spider_mite,1676,1173,251,252
Tomato__Target_Spot,1404,982,210,212
Tomato__Tomato_YellowLeaf__Curl_Virus,3208,2245,481,482
Tomato__Tomato_mosaic_virus,373,261,55,57
Tomato_healthy,1585,1109,237,239
